dataset,n_samples,n_features,n_classes,redundancy_score,redundancy_level,dt_test_accuracy,dt_train_accuracy,dt_overfitting,dt_depth,dt_leaves,rf_test_accuracy,rf_train_accuracy,rf_overfitting,rf_advantage_over_dt,dt_training_time,rf_training_time
anneal,812,93,2,0.3850321906495433,MODERATE,1.0,1.0,0.0,2,3,1.0,1.0,0.0,0.0,0.01662278175354004,0.7459897994995117
audiology,216,148,2,0.30798125711918817,MODERATE,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.0037038326263427734,0.4620201587677002
australian-credit,653,125,2,0.31639181746656175,MODERATE,1.0,1.0,0.0,1,2,0.9923664122137404,1.0,0.007633587786259555,-0.007633587786259555,0.0027990341186523438,0.39420008659362793
breast-wisconsin,683,120,2,0.3956582633053221,MODERATE,1.0,1.0,0.0,1,2,0.9927007299270073,1.0,0.007299270072992692,-0.007299270072992692,0.003198862075805664,0.34214019775390625
compas,7214,27,2,0.1737891737891738,LOW,0.6645876645876646,0.7104487957026512,0.045861131114986575,15,608,0.6701316701316701,0.7104487957026512,0.040317125570981105,0.00554400554400547,0.01191091537475586,0.5136559009552002
diabetes,768,112,2,0.34636422136422135,MODERATE,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.004063129425048828,0.35396885871887207
german-credit,1000,112,2,0.24269554986298106,LOW,1.0,1.0,0.0,1,2,0.97,1.0,0.030000000000000027,-0.030000000000000027,0.0036029815673828125,0.36931610107421875
heart-cleveland,296,95,2,0.3247480403135498,MODERATE,1.0,1.0,0.0,2,3,0.95,1.0,0.050000000000000044,-0.050000000000000044,0.0018973350524902344,0.32337212562561035
hepatitis,137,68,2,0.3330772607550483,MODERATE,1.0,1.0,0.0,1,2,0.9285714285714286,1.0,0.0714285714285714,-0.0714285714285714,0.002052783966064453,0.3194301128387451
hypothyroid,3247,88,2,0.3319931611145246,MODERATE,1.0,1.0,0.0,5,9,0.9907692307692307,1.0,0.009230769230769265,-0.009230769230769265,0.009418964385986328,0.40116310119628906
ionosphere,351,445,2,0.3952869563707314,MODERATE,1.0,1.0,0.0,1,2,0.971830985915493,1.0,0.028169014084507005,-0.028169014084507005,0.003542184829711914,0.30402612686157227
kr-vs-kp,3196,73,2,0.29433028919330295,LOW,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.0038759708404541016,0.3727138042449951
letter,20000,224,2,0.3253423286354901,MODERATE,1.0,1.0,0.0,1,2,0.999,1.0,0.0010000000000000009,-0.0010000000000000009,0.11852002143859863,0.7341101169586182
lymph,148,68,2,0.2803994732221247,LOW,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.0020470619201660156,0.42729902267456055
mushroom,8124,119,2,0.25570444393973807,LOW,1.0,1.0,0.0,2,3,1.0,1.0,0.0,0.0,0.01911187171936035,0.5920720100402832
pendigits,7494,216,2,0.3521317829457364,MODERATE,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.02624368667602539,0.42176198959350586
primary-tumor,336,31,2,0.2731182795698925,LOW,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.0017771720886230469,0.3511800765991211
segment,2310,235,2,0.40729910315336304,MODERATE,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.00910806655883789,0.37447500228881836
soybean,630,50,2,0.24816326530612243,LOW,1.0,1.0,0.0,2,3,1.0,1.0,0.0,0.0,0.002274751663208008,0.36346983909606934
splice-1,3190,287,2,0.21009478326551498,LOW,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.013559818267822266,0.37946534156799316
tic-tac-toe,958,27,2,0.1866096866096866,LOW,1.0,1.0,0.0,2,3,1.0,1.0,0.0,0.0,0.0025260448455810547,0.3485090732574463
vehicle,846,252,2,0.3923749446657813,MODERATE,1.0,1.0,0.0,1,2,0.9882352941176471,1.0,0.0117647058823529,-0.0117647058823529,0.0037250518798828125,0.356978178024292
vote,435,48,2,0.2468971631205674,LOW,1.0,1.0,0.0,2,3,0.9885057471264368,1.0,0.011494252873563204,-0.011494252873563204,0.001773834228515625,0.3138439655303955
yeast,1484,89,2,0.3379724208375894,MODERATE,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.0032036304473876953,0.3519277572631836
zoo-1,101,36,2,0.35277777777777775,MODERATE,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.0015020370483398438,0.3102848529815674
